term,definition,long_definition,vernacular_definition,note,example
sabda,"utterance (of God, King)","*utterance (of God, King)",,,Raja itu BERSABDA kepada rakyatnya dari atas balkon
sabet,"1. whip; 2. snacth, grab",*ME- = to whip *DI- = to be grabbed,,,Dompet Pak Budi DISABET orang di dalam bus kota
sabit,sickle; bulan - = crescent moon,*ME- = to cut (grass) *bulan - = crescent moon,,,Bulan SABIT di langit tertutup oleh awan tipis
sableng,slightly crazy,*slightly crazy,,,He is SLIGHTLY CRAZY.
sablon,silk-screening,*PE-AN = process of silk-screening,,,Banyak perusahaan PENYABLONAN di Kota Denpasar membuang limbahnya ke sungai
sabot,sabotage,^sabotage MENY-: sabotage,,,Pendukung Partai Golkar MENYABOT rencana kampanye pemilihan umum yang damai dengan melakukan tindakan kekerasan
Sabtu,HARI ~: Saturday.,*HARI ~: Saturday.,Nama hari sesudah hari Jum'at.,,Kemana rencanamu hari SABTU yang akan datang?
sabuk,belt; sash,belt; sash,,,
sabun,"soap. BER-: soapy. MENY-, MENY--I: to soap, make s.t. soapy. Also MENY-, NY-.","^soap.  BER-: soapy. *MENY-, MENY--I: to soap, make s.t. soapy, to lather s.t. MEN-, NY-: 1 connive to do s.t. illegal, to bribe. 2 to masturbate.",,,Saya akan MENYABUNI kaki saya yang gatal.
sabung,1 competitive fight between two animals (usually with gambling); 2 ME- nyawa/jiwa = risk one's life.,*1 competitive fight between two animals (usually with gambling) *2 ME- nyawa/jiwa = risk one's life,,,Anak itu MENYABUNG NYAWA di meja operasi rumah sakit
sabut,husk; fibrous shell,husk; *fibrous shell,,,SABUT kelapa bisa digunakan untuk membuat keset
sadap,"ME- = 1 make incisions in a tree to obtain sap; 2 tap, bug (telephone, information, etc.)","*ME- = make incisions in a tree to obtain sap *ME- = tap, bug (telephone, information, etc.)",,,Teleponnya DISADAP oleh pihak yang berwenang
sadar,"aware, conscious. MENY--I: be aware/conscious of. Also MEN--KAN, +","^ aware, conscious. *MENY--I: be aware/conscious of. MEN--KAN: 1 to make aware/conscious of. 1 to make s.o. realize s.t. *TER-: 1 come to consciousness. 2 come to realize s.t. *KE--AN: 1 awareness, consciousness, attention. 2 realization. 3 become conscious of s.t.",Siuman kembali dari pingsan; insaf; bangun dari tidur.,,Dalam menyelesaikan masalah ini dibutuhkan KESADARAN masing-masing pihak yang terikut.
sadel,bicycle or motorcycle seat,bicycle or motorcycle seat,,,SADEL ini tak kuat
sadis,sadist; sadistic,sadist; sadistic,,,
sado,a kind of horse carriage.,a kind of horse carriage.,Nama kendaraan yang ditarik oleh kuda (semacam andong).,,
sadur,adapt (a story),*adapt (a story),,,Cerita itu DISADUR dari cerita rakyat di Mesir
sagu,a k.o. palm tree.,a k.o. palm tree.,Nama jenis tumbuhan; tepung yang terbuat dari hati pohon sagu/palm/rumbia/enau.,,
sah,"valid, official, legal, legitimate.","^valid, official, legal, legitimate. KE--AN: legality.",Legal; berlaku; diakui kebenarannya oleh yang berwenang.,,Saya meragukan KESAHAN surat kawin ini.
sahabat,"friend, buddy. BER-: to be friends, to be friendly. PER--AN: friendship.","friend, buddy. BER-: to be friends, to be friendly. PER--AN: friendship.",Teman karib; kawan yang dekat.,,PERSAHABATAN kami sedang teruji.
sahaja,"see SAHAJA1 (simple . . .), SAHAJA2 (see SAJA).",see SAHAJA1 (simple . . .) SAHAJA2 (see SAJA).,,,
sahaja,"BER-: simple, natural. MEMPER--KAN: simplify. Also KEBER--AN, PER--AN.","^BER-: simple, natural. MEMPER--KAN: simplify. KEBER--AN: simplicity. PER--AN: simplification.",Tidak berlebihan; sederhana; apa adanya; tidak aneh-aneh.,,Lihatlah KEBERSAHAJAAN cara hidup keluarga Sudarmo.
sahaja,see SAJA.,see SAJA.,,,
saham,"1 share, stock; 2 contribution; 3 part, role (in an affair, etc.)","*1 share, stock 2 contribution 3 part, role (in an affair, etc.)",,,Banyak orang menanam uangnya dalam bentuk SAHAM di perusahaan telekomunikasi
sahib,owner; possessor,owner; possessor,,,
sahih,valid; genuine,KE- AN = validity,,,
sahur,meal eaten just before daybreak during the Islamic fasting month of Ramadan.,meal eaten just before daybreak during the Islamic fasting month or Ramadan.,"Makan sebelum batas waktu untuk berpuasa, biasanya pagi-pagi sekali sebelum matahari terbit dan dilakukan dibulan Ramadan.",,
sahut,"to answer a call. BER-_-_-AN: answer back and forth. Also MEN-(-I), -AN.","^to answer a call. *BER-_-_-AN: answer back and forth. *MENY-(-I): answer a call, reply to s.t. *-AN: a reply.",jawab.,,Terdengar SAHUTAN yang sangat lemah dari orang yang sedang sekarat itu.
saing,see SAING (to compete . . .) or SAING (fang or tusk).,see SAING (to compete . . .) SAING (fang or tusk).,,,
saing,"BER-: to compete. BER--AN: to compete among e.o. Also MENY--I, PENY-.",^BER-: to compete. BER--AN: to compete among e.o. MENY--I: compete with s.o. PENY-: a competitor.,Saling berbeda arah/tujuan; saling berlawanan; saling bertentangan.,,Kita tidak mungkin MENYAINGI keahlian mereka dalam berlayar.
saing,fang or tusk (of an animal).,fang or tusk (of an animal).,taring.,,SAING gajah Afrika panjang dan besar.
saja,"only, just, exactly; nevertheless.","^*1 only, just, exactly. 2 nevertheless.",,,Anak itu tidak SAJA nakal tapi juga tidak penurut.
sajak,poem.,poem.,Puisi; persamaan bunyi diakhir syair atau pantun.,,
sajarah,see SEJARAH.,see SEJARAH.,,,
saji,"dishes served up on the table. MENY--KAN: serve, dish up; provide. Also -AN.","^dishes served up on the table. MENY--KAN: 1 serve, dish up. 2 provide, supply. -AN: dish of food served to guests; offerings in traditional ceremony.",Hal yang dihidangkan.,,Hebat benar SAJIAN makanan dalam pesta perkawinan ini.
sakap,MENY- = sharecrop; MENY-KAN= lease land on a sharecrop basis; PENY- = sharecropper,*MENY- = sharecrop MENY-KAN = lease land on a sharecrop basis *PENY- = sharecropper,,,"Para petani itu tidak mempunyai tanah miliknya sendiri, tetapi hanya menjadi petani PENYAKAP"
saking,on account of.,*on account of.,sangat.,,SAKING sulitnya matematika ini sampai pusing kepalaku.
sakit,"ill, sick; sore, painful. MENY--I: hurt, offend. Also MEN--I, MENY--KAN, +","^1 ill, sick. 2 sore, painful. *MENY--I: hurt, offend. MENY--I, MENY--KAN: to hurt, make painful or ill. *KE--AN: 1 illness, pain. 2 to be afflicted with illness or pain. *PENY-: disease, sickness, illness. BERPENY-: to suffer a disease.",Perasaan tidak nyaman di tubuh.,,PENYAKIT ini sudah kuderita selama bertahun-tahun.
sakral,sacred,"*sacred MENY-KAN = sanctify, make holy",,,Tarian yang SAKRAL itu hanya dipentaskan di dalam sebuah upacara ritual
saksi,"witness, testmony. BER-: testfy, use s.t. as a witness or proof. +","^1. witness. 2. testimony. BER-: 1. testify. 2. use s.t. as a witness or proof. MEMPER--KAN, MENY--KAN: 1. watch an event. 2. testify. KE--AN, PER--AN: witness, evidence.",Orang yang melihat/mengetahui suatu kejadian secara langsung.,,KESAKSIANnya dalam perkara itu diragukan.
sakti,"1. supernatural, divine power. 2. having supernatural power. 3. sacred. +","^1. supernatural, divine power. 2. having magic or divine power. 3. sacred. MENY--KAN: render supernaturally powerful. KE--AN: supernatural powers.",Mempunyai kemampuan yang melebihi kodrat alam.,,KESAKTIAN pendekar itu tak ada bandingnya.
saku,pocket.,pocket.,,,
sakura,"cherry tree, pink blossoms","cherry tree, pink blossoms",,,Negeri Jepang di kenal pula sebagi negeri SAKURA
salah,"see SALAH1 (fault, mistake . . .) or SALAH2 (one out of several).","see SALAH1 (fault, mistake . . .) SALAH2 (one out of several).",,,
salah,"fault, mistake; wrong, incorrect. Also BER-, MEN--KAN, KE--AN.","^1 fault, mistake. 2 wrong, incorrect. *BER-: be guilty, be in the wrong. *MENY--KAN: 1 accuse, blame. 2 deny. *KE--AN: 1 mistake, fault, misdeed. 2 guilt, blame.",Tidak benar; keliru; luput.,,KESALAHAN pencuri ayam itu kecil saja tetapi kenapa hukumannya berat sekali?
salah,"one out of several, one of a group.","*one out of several, one of a group.",diantara.,,SALAH satu pemain sepak bola itu sudah kukenal.
salak,salak1: the Zalacca palm and its fruit salak2: barking,*salak1= the Zalacca palm and its fruit. **salak2= barking ME-: bark ME-(I): bark,,,**Anjing itu MENYALAK
salam,"peace to you, greetings (as in greeting s.o.) Also BER-, BER-_-_-AN, MENY--I, +","peace unto you, greetings (as in greeting s.o.). BER-: to greet s.o. *BER-_-_-AN: to shake hands in greeting. *MENY--I: greet formally, shake the hand of. -AN: handshake.",tabik; pernyataan penghormatan.,,Pada Hari Natalan ini kami BERSALAM-SALAMAN saling meminta maaf.
salawat,see SELAWAT.,see SELAWAT.,,,
saldo,[Fin.] balance,[Fin.] balance,,,Berapa SALDO tabunganmu sekarang?
salep,"ointment, salve","*ointment, salve",,,"Kalau anda sakit selesma, gosokkan SALEP ini di dada dan punggung anda"
salib,(Christian) Cross,Christian Cross *MENY-KAN: crucify *PENY-AN: crucifixion,,,Di lehernya tergantung kalung dengan hiasan SALIB
salin,"BER-: change clothes; give birth to a child. Also MENY-, -AN, PER--AN.","^*BER-: 1 change clothes. 2 give birth to a child. *MENY-: change s.t., copy s.t. -AN: a copy of s.t. *PER--AN: 1 a change of clothes. 2 childbirth.",mengganti; berubah.,,PERSALINAN anakku yang pertama mudah saja tidak terlalu sakit.
saling,"mutually, to/for one another.","^*mutually, to/for one another.",bergantian; berbalasan.,,Mereka SALING membalas salam ketika bertemu di jalan.
salip,"MENY- = pass, overtake (a car)","*MENY- = pass, overtake (a car)",,,Dilarang MENYALIP
salju,snow. BER-: snow-covered.,snow. BER-: snow-covered.,Butir-butir es yang jatuh ke bumi.,,Minggu ini seluruh Eropa BERSALJU tebal.
salon,drawing room,drawing room *- kecantikan = beauty parlor,,,"Di kota-kota di Indonesia banyak terdapat SALON KECANTIKAN, baik yang mahal maupun yang murah"
salto,somersault,somersault,,,
salur,"channel, gotter, lines. BER-: have lines. MENY--I: make s.t. pass through s.t.+","^ 1. channel, gutter. 2. lines, stripes. BER-: have lines. MENY--I: make s.t. pass through s.t. MENY--KAN: 1. channel s.t. 2. bring goods on the market, distribute. TER-(-KAN): find an outlet. -AN: 1. channel. 2. line. PENY-: 1. distributor. 2. (Elec.) conductor.",mengalirkan; mengarahkan; menempatkan; dll.,,"Sebagai agen PENYALUR, untung yang saya dapat tidak banyak."
salut,"1 salute; 2 greetings; 3 respect, admire","1 salute 2 greetings *3 respect, admire",,,Saya sangat SALUT akan keberaniannya
sama,"SAMA1=same, equal. SAMA2=together, with. Also _-_, SE-, MENY-(-I/KAN), BER-, +","(also see SAMARATA, SAMARENDAH) ^*SAMA1=same, equal. *SAMA-SAMA:exactly the same; (response to ""thank you""). SE-: fellow, peer. BER--AN: 1 be equal to e.o. 2 be in conformity with. 3 resembling, similar. MENY-: behave like. MENY--I: equal, match s.t. MENY--KAN,MEMPER--KAN: 1 compare s.t. (with). 2 treat the same as. 3 make the same. MENY-_-_-KAN: unjustifiably compare, consider the same, place on a par. MEMPER-_-_-KAN: mistakenly consider the same. KE--AN: sameness, similarity. -AN: (Coll.) of the same type. PER--AN: 1 similarity, agreement. 2 comparison. 3 equality. 4 equation ^*SAMA2=1(Coll.) together, with. 2 and. 3 do together, also do. 4(Coll.) regarding, [with, for, etc.]. 5 pl. marker of adjs. & vbs. BER-: 1 together with. 2 herewith. 3 joint, collective. *(BER)-_-_: do together BER--AN: do simultaneously. KEBER--AN: togetherness.",1. Tidak berbeda; tidak berlainan. 2. Berbareng; bertepatan. 3. Sepadan; sebanding; setara.,,Dia bekerja BERSAMA-SAMA rakyat.=He worked WITH the people.
samar,"vague, ambiguous, indistinct. MENY-: to assume a disguise. Also MEMPER-, +","vague, ambiguous, indistinct. MENY-: to assume a disguise. MEMPER-: to make s.t. obscure. TER-: disguised.",Tidak jelas kelihatan; kabur.,,Dalam pesta itu kehadirannya TERSAMAR oleh ramainya orang.
Samarinda,capital city of the Province of Eastern Kalimantan in Indonesia.,"capital city of the Province of Eastern Kalimantan in Indonesia, located on the Island of Kalimantan.",,,
sambal,a spicy sauce made with chili peppers.,a spicy sauce made with chili peppers.,Makanan penyedap yang dibuat dari lombok/cabai.,,
sambi,"MENY-, NY-: 1. do at the same time. 2. have a side job.","MENY-, NY-: 1. do at the same time. 2. have a side job.",,,Ale MENYAMBI sebagai sopir taksi setelah sekolah usai
sambil,"while, simultaneously. Also MENY--KAN, TER-, -AN.","*while, simultaneously. MENY--KAN: do s.t. as a sideline or simultaneously. TER-: secondary, unimportant. *-AN: a part-time occupation.",Seraya; sembari; sementara.,,Ini hanya pekerjaan SAMBILAN saja.
sambuk,a whip,*a whip MENY-: whip -AN: whipping,,,*Angka C pada ujianku MENYAMBUK saya untuk belajar lebih keras
sambung,"continue, be connected. MENY-: continue on, connect to s.t. Also TER-, -AN.","^continue, be connected. MENY-: continue on, connect to s.t. TER-: connected. -AN: a continuation or connection.",Saling bersangkut paut; hubung; bertalian.,,SAMBUNGAN telepon ke Ambon akan TERSAMBUNG kembali besok pagi.
sambut,"answer. MENY-: welcome, accept, receive. -AN: welcome, reception, answer.","^answer. MENY-: welcome, accept, receive. -AN: welcome, reception, answer, response.",terima.,,Meriah benar SAMBUTAN yang diterima bintang bulutangkis itu.
samenleven,live together as husband and wife without benefit of matrimony,live together as husband and wife without benefit of matrimony,,,
sampah,"garbage, rubbish.","garbage, rubbish.",,,Jangan membuang SAMPAH di sembarang tempat
sampai,"to, until, as far as; to arrive; to the point of. Also MENY--KAN, KE--AN.","^1 to, until, as far as. 2 to arrive. 3 to the point of. *MENY--KAN: convey, deliver, cause to arrive. *KE--AN: achieved, accomplished.",datang; tiba.,,Akhirnya KESAMPAIAN juga niatnya untuk belajar ke luar negeri.
sampan,"small boat, dugout","small boat, dugout",,,
sampanye,champagne,champagne,,,
samping,"side. BER--AN: side by side. MENY--KAN: put off to the side. Also TER-, -AN.","side. *BER--AN: side by side. *MENY--KAN: put off to the side, to sideline. TER-: pushed aside. *-AN: s.t. secondary or supplementary.",sebelah; sisi.,,Ini hasil SAMPINGAN dari kebun bapak.
sampir,MENY-KAN = hang,*MENY-KAN = hang,,,Ia MENYAMPIRKAN jasnya di atas kursi
sampo,shampoo,shampoo,,,
sampul,"cover, wrapping.","cover, wrapping.","Penutup sesuatu di bagian luar, biasanya terbuat dari kertas.",,
samudera,ocean.,ocean.,Lautan yang sangat luas.,,Hasil ikan dari SAMUDERA Indonesia sangat melimpah.
samudra,see SAMUDERA.,see SAMUDERA.,,,
sana,there (far from the speaker).,*there (far from the speaker).,Penunjuk tempat yang jauh dari pembicara.,,Rumah bu guru ada di SANA.
sanak,relative.,relative.,Orang yang masih ada hubungan keluarga; kerabat.,,
sandal,sandals.,sandals.,Alas kaki yang tidak berpenutup rapat.,,
sandang,shoulder strap. MENY-: 1. carry s.t. strapped over the shoulder. 2. to bear. +,"shoulder strap. MENY-: 1. carry s.t. strapped over the shoulder. 2. bear (a title). MENY--I: attribute to. MENY--KAN: strap on, gird. MEMPER--KAN: carry on o.'s shoulder. -AB: sling. PENY-: shoulder strap.",,,
sandar,"BER- = 1 lean on; 2 moor, tie up (ship)","*BER- = 1 lean on/against; 2 moor, tie up (ship) *BER-KAN = be based on MENY- = buttress, lean against s.t. or s.o. *MENY-KAN = 1 base s.t. on; 2 prop, lean s.t.",,,Ia MENYANDARKAN nasibnya pada Tuhan
sandera,hostage,*MENY- = take as a hostage TER- = be taken as a hostage PENY-AN = taking of hostages,,,Perampok bank itu MENYANDERA seorang nasabah (bank)
sandi,code,kata - = codeword - balik = decode BER- = in code MENY-KAN = encode PER-AN = encoding,,,
sanding,"close, near","*BER- = sit in state (of bride and groom at marriage ceremony) MENY-I = 1 accompany, be next to; 2 be married to MENY-KAN, MEMPER-KAN = place newlyweds next to e.o. (in marriage ceremony) -AN = partner, o. who accompanies",,,Sepasang pengantin itu duduk BERSANDING di atas pelaminan
sandiwara,"dramatic performance, play. BER-: act on stage, play-act.","dramatic performance, play. BER-: act on stage, play-act.",Pertunjukan cerita yang yang dimainkan oleh orang; drama; teater.,,Hati-hati menghadapi orang yang pandai BERSANDIWARA.
sandung,"TER- , KE- = stumble","*TER- , KE- = stumble -AN = stumbling block",,,Kakinya TERSANDUNG pada sebuah batu
sang,term of address conveying honor.,term of address conveying honor.,Kata sandang yang diletakkan didepan nama seseorang/benda yang dianggap mulia.,,"Akhirnya, kemenangan diraih oleh SANG Jenderal."
sangar,"ill-fated, bringing misfortune, spooky","ill-fated, bringing misfortune, spooky","bernasib buruk, berwajah tidak ramah",,Walaupun wajahnya SANGAR tapi dia sangat baik hati
sangat,"very, extremely, greatly.","*very, extremely, greatly.",paling.,,Bunga ini SANGAT indah.
sangga,"prop, support","*MENY- = prop, support PENY- = support, buffer",,,Beberapa tiang bambu MENYANGGA rumah yang hampir rubuh itu
sanggah,"1 protest, oppose, contradict; 2 (Bali) house-shrine","*MENY- = protest, oppose, contradict -AN = protest, rejoinder, rebuttal PENY- = 1 opponent; 2 discussant; 3 o. who protests PENY-AN = act of opposing",,,Ia MENYANGGAH berita yang memojokkan dirinya
sanggar,studio,- tari = dance studio - kerja = workhop,,,
sanggul,"knot of hair, hair bun",,,,
sanggup,1. able. 2. be prepared to do. MENY--I: promise. MENY--KAN: 1. enable.+,"^1. able, capable. 2. be prepared to do. MENY--I: promise. MENY--KAN: 1. enable. 2. promise. KE--AN: 1. power, capability. 2. readiness to do s.t. -AN: promise.",Bisa melakukan suatu hal; mampu; kuasa; mau; bersedia.,,Saya percaya akan KESANGGUPANnya.
sangit,"smelling burnt or scorched, burnt or scorched (smell)","smelling burnt or scorched, burnt or scorched (smell)",,,
